run_index,seed,SNR_dB,NN_Accuracy_pct,Corr_Accuracy_pct,Gain_pct,best_val_acc,training_time
0,42,0,57.8755,41.5180,16.3575,96.6960,159.5513
0,42,5,80.0865,47.6175,32.4690,96.6960,159.5513
0,42,10,96.6860,51.1315,45.5545,96.6960,159.5513
0,42,15,97.5870,52.5930,44.9940,96.6960,159.5513
0,42,20,97.6150,53.1125,44.5025,96.6960,159.5513
1,142,0,57.5585,41.5180,16.0405,96.6200,164.5117
1,142,5,79.2955,47.6175,31.6780,96.6200,164.5117
1,142,10,96.6485,51.1315,45.5170,96.6200,164.5117
1,142,15,97.5725,52.5930,44.9795,96.6200,164.5117
1,142,20,97.6270,53.1125,44.5145,96.6200,164.5117
2,242,0,57.5385,41.5180,16.0205,96.6460,162.0506
2,242,5,79.3405,47.6175,31.7230,96.6460,162.0506
2,242,10,96.6125,51.1315,45.4810,96.6460,162.0506
2,242,15,97.4505,52.5930,44.8575,96.6460,162.0506
2,242,20,97.4255,53.1125,44.3130,96.6460,162.0506
3,342,0,57.8510,41.5180,16.3330,96.6920,161.0272
3,342,5,79.9720,47.6175,32.3545,96.6920,161.0272
3,342,10,96.6715,51.1315,45.5400,96.6920,161.0272
3,342,15,97.5540,52.5930,44.9610,96.6920,161.0272
3,342,20,97.5940,53.1125,44.4815,96.6920,161.0272
4,442,0,57.2535,41.5180,15.7355,96.6180,164.1744
4,442,5,79.2935,47.6175,31.6760,96.6180,164.1744
4,442,10,96.6080,51.1315,45.4765,96.6180,164.1744
4,442,15,97.4795,52.5930,44.8865,96.6180,164.1744
4,442,20,97.4730,53.1125,44.3605,96.6180,164.1744
